iata_code,iso_region,municipality,name,iso_country
KKE,NZ-NTL,Kerikeri,Kerikeri Airport,NZ
KAT,NZ-NTL,Kaitaia,Kaitaia Airport,NZ
NPL,NZ-TKI,New Plymouth,New Plymouth Airport,NZ
NPE,NZ-HKB,Napier,Hawke's Bay Airport,NZ
NSN,NZ-NSN,Nelson,Nelson Airport,NZ
IVC,NZ-STL,Invercargill,Invercargill Airport,NZ
OAM,NZ-OTA,,Oamaru Airport,NZ
PMR,NZ-MWT,,Palmerston North Airport,NZ
ZQN,NZ-OTA,Queenstown,Queenstown International Airport,NZ
ROT,NZ-BOP,Rotorua,Rotorua Regional Airport,NZ
TRG,NZ-BOP,Tauranga,Tauranga Airport,NZ
TIU,NZ-CAN,,Timaru Airport,NZ
BHE,NZ-MBH,Blenheim,Woodbourne Airport,NZ
WKA,NZ-OTA,,Wanaka Airport,NZ
WHK,NZ-BOP,,Whakatane Airport,NZ
WLG,NZ-WGN,Wellington,Wellington International Airport,NZ
WRE,NZ-NTL,,Whangarei Airport,NZ
WSZ,NZ-WTC,,Westport Airport,NZ
WAG,NZ-MWT,Wanganui,Wanganui Airport,NZ
HEA,AF-HER,,Herat Airport,AF
KBL,AF-KAB,Kabul,Kabul International Airport,AF
MZR,AF-BAL,,Mazar I Sharif Airport,AF
BAH,BH-15,Manama,Bahrain International Airport,BH
AHB,SA-14,Abha,Abha Regional Airport,SA
HOF,SA-04,,Al Ahsa Airport,SA
ABT,SA-11,,Al Baha Airport,SA
BHH,SA-14,,Bisha Airport,SA
DMM,SA-04,Ad Dammam,King Fahd International Airport,SA
DHA,SA-04,,King Abdulaziz Air Base,SA
DWD,SA-01,Dawadmi,Dawadmi Domestic Airport,SA
GIZ,SA-09,Jizan,Jizan Regional Airport,SA
ELQ,SA-05,,Gassim Airport,SA
URY,SA-08,Gurayat,Gurayat Domestic Airport,SA
HAS,SA-06,Ha'il,Ha'il Airport,SA
JED,SA-02,Jeddah,King Abdulaziz International Airport,SA
KMC,SA-04,King Khaled Military City,King Khaled Military City Airport,SA
MED,SA-03,Medina,Prince Mohammad Bin Abdulaziz Airport,SA
EAM,SA-10,,Nejran Airport,SA
AQI,SA-04,Qaisumah,Al Qaisumah/Hafr Al Batin Airport,SA
RAH,SA-08,Rafha,Rafha Domestic Airport,SA
RUH,SA-01,Riyadh,King Khaled International Airport,SA
RAE,SA-08,Arar,Arar Domestic Airport,SA
SHW,SA-10,,Sharurah Airport,SA
AJF,SA-12,Al-Jawf,Al-Jawf Domestic Airport,SA
TUU,SA-07,Tabuk,Tabuk Airport,SA
TIF,SA-02,Ta’if,Ta’if Regional Airport,SA
TUI,SA-08,Turaif,Turaif Domestic Airport,SA
WAE,SA-01,,Wadi Al Dawasir Airport,SA
EJH,SA-07,Al Wajh,Al Wajh Domestic Airport,SA
YNB,SA-03,Yanbu,Prince Abdulmohsin Bin Abdulaziz Airport,SA
ABD,IR-10,Abadan,Abadan Airport,IR
MRX,IR-10,,Mahshahr Airport,IR
AWZ,IR-10,Ahwaz,Ahwaz Airport,IR
BUZ,IR-06,Bushehr,Bushehr Airport,IR
KIH,IR-23,Kish Island,Kish International Airport,IR
BDH,IR-23,Bandar Lengeh,Bandar Lengeh Airport,IR
PGU,IR-06,Asalouyeh,Persian Gulf International Airport,IR
KSH,IR-17,Kermanshah,Shahid Ashrafi Esfahani Airport,IR
KHD,IR-20,,Khoram Abad Airport,IR
SDG,IR-16,,Sanandaj Airport,IR
IFN,IR-04,Isfahan,Esfahan Shahid Beheshti International Airport,IR
RAS,IR-19,Rasht,Sardar-e-Jangal Airport,IR
IKA,IR-07,Tehran,Imam Khomeini International Airport,IR
THR,IR-07,Tehran,Mehrabad International Airport,IR
PYK,IR-U-A,Karaj,Payam International Airport,IR
BND,IR-23,Bandar Abbas,Bandar Abbas International Airport,IR
KER,IR-15,Kerman,Kerman Airport,IR
BXR,IR-15,,Bam Airport,IR
RJN,IR-15,,Rafsanjan Airport,IR
XBJ,IR-29,Birjand,Birjand Airport,IR
MHD,IR-30,Mashhad,Mashhad International Airport,IR
BJB,IR-31,Bojnord,Bojnord Airport,IR
AFZ,IR-30,Sabzevar,Sabzevar National Airport,IR
NSH,IR-21,,Noshahr Airport,IR
RZR,IR-21,,Ramsar Airport,IR
SRY,IR-21,Sari,Dasht-e Naz Airport,IR
LRR,IR-14,Lar,Lar Airport,IR
SYZ,IR-14,Shiraz,Shiraz Shahid Dastghaib International Airport,IR
ADU,IR-03,Ardabil,Ardabil Airport,IR
OMH,IR-02,Urmia,Urmia Airport,IR
TBZ,IR-01,Tabriz,Tabriz International Airport,IR
AZD,IR-25,Yazd,Shahid Sadooghi Airport,IR
ZBR,IR-13,Chabahar,Konarak Airport,IR
ZAH,IR-13,Zahedan,Zahedan International Airport,IR
AMM,JO-AM,Amman,Queen Alia International Airport,JO
ADJ,JO-AM,Amman,Amman-Marka International Airport,JO
AQJ,JO-AQ,Aqaba,Aqaba King Hussein International Airport,JO
KWI,KW-FA,Kuwait City,Kuwait International Airport,KW
BEY,LB-JL,Beirut,Beirut Rafic Hariri International Airport,LB
JNJ,OM-WU,Duqm,Duqm Jaaluni Airport,OM
MNH,OM-BA,Al Masna'ah,Rustaq Airport,OM
AUH,AE-AZ,Abu Dhabi,Abu Dhabi International Airport,AE
AAN,AE-AZ,Al Ain,Al Ain International Airport,AE
DXB,AE-DU,Dubai,Dubai International Airport,AE
DWC,AE-DU,Jebel Ali,Al Maktoum International Airport,AE
FJR,AE-FU,,Fujairah International Airport,AE
RKT,AE-RK,Ras Al Khaimah,Ras Al Khaimah International Airport,AE
SHJ,AE-SH,Sharjah,Sharjah International Airport,AE
KHS,OM-MU,Khasab,Khasab Air Base,OM
MCT,OM-MA,Muscat,Muscat International Airport,OM
SLL,OM-ZU,Salalah,Salalah Airport,OM
BHV,PK-PB,Bahawalpur,Bahawalpur Airport,PK
CJL,PK-NW,Chitral,Chitral Airport,PK
DEA,PK-PB,Dera Ghazi Khan,Dera Ghazi Khan Airport,PK
DSK,PK-NW,Dera Ismael Khan,Dera Ismael Khan Airport,PK
LYP,PK-PB,Faisalabad,Faisalabad International Airport,PK
GWD,PK-BA,Gwadar,Gwadar International Airport,PK
GIL,PK-NA,Gilgit,Gilgit Airport,PK
KHI,PK-SD,Karachi,Jinnah International Airport,PK
LHE,PK-PB,Lahore,Alama Iqbal International Airport,PK
MFG,PK-JK,Muzaffarabad,Muzaffarabad Airport,PK
MJD,PK-SD,Moenjodaro,Moenjodaro Airport,PK
MUX,PK-PB,Multan,Multan International Airport,PK
WNS,PK-SD,Nawabashah,Shaheed Benazirabad Airport,PK
PJG,PK-BA,Panjgur,Panjgur Airport,PK
PSI,PK-BA,Pasni,Pasni Airport,PK
PEW,PK-NW,Peshawar,Peshawar International Airport,PK
UET,PK-BA,Quetta,Quetta International Airport,PK
RYK,PK-PB,Rahim Yar Khan,Shaikh Zaid Airport,PK
ISB,PK-IS,Islamabad,Benazir Bhutto International Airport,PK
RAZ,PK-JK,Rawalakot,Rawalakot Airport,PK
KDU,PK-NA,Skardu,Skardu Airport,PK
SKZ,PK-SD,Mirpur Khas,Sukkur Airport,PK
SYW,PK-SD,Sehwan Sharif,Sehwan Sharif Airport,PK
SDT,PK-NW,Saidu Sharif,Saidu Sharif Airport,PK
SKT,PK-PB,Sialkot,Sialkot Airport,PK
TUK,PK-BA,Turbat,Turbat International Airport,PK
PZH,PK-BA,Fort Sandeman,Zhob Airport,PK
BGW,IQ-BG,Baghdad,Baghdad International Airport,IQ
EBL,IQ-AR,Arbil,Erbil International Airport,IQ
BSR,IQ-BA,Basrah,Basrah International Airport,IQ
ISU,IQ-SW,Sulaymaniyah,Sulaymaniyah International Airport,IQ
ALP,SY-HL,Aleppo,Aleppo International Airport,SY
DAM,SY-DI,Damascus,Damascus International Airport,SY
DEZ,SY-DY,Deir ez-Zor,Deir ez-Zor Airport,SY
KAC,SY-HA,Kamishly,Kamishly Airport,SY
LTK,SY-LA,Latakia,Bassel Al-Assad International Airport,SY
ADE,YE-AD,Aden,Aden International Airport,YE
AAY,YE-MR,,Al Ghaidah International Airport,YE
HOD,YE-HU,Hodeida,Hodeidah International Airport,YE
RIY,YE-HD,Riyan,Mukalla International Airport,YE
SAH,YE-SN,Sana'a,Sana'a International Airport,YE
SCT,YE-HD,Socotra Islands,Socotra International Airport,YE
GXF,YE-HD,Sayun,Sayun International Airport,YE
TAI,YE-TA,Ta'izz,Ta'izz International Airport,YE
BET,US-AK,Bethel,Bethel Airport,US
BRW,US-AK,Utqiaġvik,Wiley Post Will Rogers Memorial Airport,US
CDV,US-AK,Cordova,Merle K (Mudhole) Smith Airport,US
ADK,US-AK,Adak Island,Adak Airport,US
DLG,US-AK,Dillingham,Dillingham Airport,US
MLL,US-AK,Marshall,Marshall Don Hunter Sr Airport,US
ADQ,US-AK,Kodiak,Kodiak Airport,US
DUT,US-AK,Unalaska,Unalaska Airport,US
EMK,US-AK,Emmonak,Emmonak Airport,US
FAI,US-AK,Fairbanks,Fairbanks International Airport,US
GST,US-AK,Gustavus,Gustavus Airport,US
HCR,US-AK,Holy Cross,Holy Cross Airport,US
HNS,US-AK,Haines,Haines Airport,US
EGX,US-AK,Egegik,Egegik Airport,US
JNU,US-AK,Juneau,Juneau International Airport,US
AKN,US-AK,King Salmon,King Salmon Airport,US
KTN,US-AK,Ketchikan,Ketchikan International Airport,US
MCG,US-AK,McGrath,McGrath Airport,US
ANC,US-AK,Anchorage,Ted Stevens Anchorage International Airport,US
ANI,US-AK,Aniak,Aniak Airport,US
ANN,US-AK,Annette,Annette Island Airport,US
ANV,US-AK,Anvik,Anvik Airport,US
OME,US-AK,Nome,Nome Airport,US
OTZ,US-AK,Kotzebue,Ralph Wien Memorial Airport,US
PSG,US-AK,Petersburg,Petersburg James A Johnson Airport,US
ARC,US-AK,Arctic Village,Arctic Village Airport,US
SCC,US-AK,Deadhorse,Deadhorse Airport,US
SIT,US-AK,Sitka,Sitka Rocky Gutierrez Airport,US
WRG,US-AK,Wrangell,Wrangell Airport,US
YAK,US-AK,Yakutat,Yakutat Airport,US
OPU,PG-WPD,Balimo,Balimo Airport,PG
VMU,PG-GPK,Baimuru,Baimuru Airport,PG
ROP,MP-U-A,Rota Island,Rota International Airport,MP
SPN,MP-U-A,Saipan Island,Saipan International Airport,MP
GUM,GU-U-A,"Hagåtña, Guam International Airport",Antonio B. Won Pat International Airport,GU
CGY,PH-MSR,Cagayan de Oro City,Laguindingan Airport,PH
HNM,US-HI,Hana,Hana Airport,US
JHM,US-HI,Lahaina,Kapalua Airport,US
KOA,US-HI,Kailua/Kona,Kona International At Keahole Airport,US
LIH,US-HI,Lihue,Lihue Airport,US
MKK,US-HI,Kaunakakai,Molokai Airport,US
MUE,US-HI,Kamuela,Waimea Kohala Airport,US
HNL,US-HI,Honolulu,Honolulu International Airport,US
LNY,US-HI,Lanai City,Lanai Airport,US
OGG,US-HI,Kahului,Kahului Airport,US
ITO,US-HI,Hilo,Hilo International Airport,US
,PK-PB,Islamabad,(Under construction) New Islamabad International Airport,PK
MAJ,MH-MAJ,Majuro Atoll,Marshall Islands International Airport,MH
KAI,GY-PT,Kaieteur Falls,Kaieteur International Airport,GY
KWA,MH-KWA,Kwajalein,Bucholz Army Air Field,MH
CXI,KI-L,Banana,Cassidy International Airport,KI
TKK,FM-TRK,Weno Island,Chuuk International Airport,FM
PNI,FM-PNI,Pohnpei Island,Pohnpei International Airport,FM
KSA,FM-KSA,Okat,Kosrae International Airport,FM
YAP,FM-YAP,Yap Island,Yap International Airport,FM
DOH,QA-DA,Doha,Hamad International Airport,QA
KNH,TW-X-KM,Shang-I,Kinmen Airport,TW
LZN,TW-X-LK,Nangang Island,Matsu Nangan Airport,TW
TTT,TW-TTT,Taitung City,Taitung Airport,TW
KHH,TW-KHH,Kaohsiung City,Kaohsiung International Airport,TW
CYI,TW-CYQ,Chiayi City,Chiayi Airport,TW
HCN,TW-PIF,Hengchung,Hengchun Airport,TW
KYD,TW-TTT,Orchid Island,Lanyu Airport,TW
RMQ,TW-TXG,Taichung City,Taichung Ching Chuang Kang Airport,TW
MFK,TW-X-LK,Beigan Island,Matsu Beigan Airport,TW
